obbxboxbb,o
bobxboxbb,o
bboxboxbb,o
bbbxooxbb,d
obbxbbxob,o
bobxbbxob,o
bboxbbxob,o
bbbxobxob,o
bbbxboxob,o
obbxbbxbo,o
bobxbbxbo,o
bboxbbxbo,o
bbbxobxbo,o
bbbxboxbo,o
bbbxbbxoo,x
oobbxbxbb,o
obobxbxbb,o
boobxbxbb,o
obboxbxbb,d
boboxbxbb,d
bbooxbxbb,d
obbbxoxbb,o
bobbxoxbb,o
bbobxoxbb,o
bbboxoxbb,x
obbbxbxob,d
bobbxbxob,x
bbobxbxob,d
bbboxbxob,d
bbbbxoxob,d
obbbxbxbo,o
bobbxbxbo,o
bbobxbxbo,o
bbboxbxbo,d
bbbbxoxbo,o
bbbbxbxoo,d
oobbbxxbb,o
obobbxxbb,o
boobbxxbb,o
obbobxxbb,d
bobobxxbb,d
bboobxxbb,d
obbboxxbb,o
bobboxxbb,o
bboboxxbb,o
bbbooxxbb,d
obbbbxxob,o
bobbbxxob,o
bbobbxxob,o
bbbobxxob,d
bbbboxxob,o
obbbbxxbo,o
bobbbxxbo,o
bbobbxxbo,o
bbbobxxbo,d
bbbboxxbo,o
bbbbbxxoo,o
xoobbbbxb,d
xobobbbxb,d
xboobbbxb,o
xobbobbxb,d
xbobobbxb,o
xbboobbxb,o
xobbbobxb,d
xbobbobxb,o
xbbobobxb,o
xbbboobxb,o
xobbbboxb,d
xbobbboxb,o
xbbobboxb,o
xbbboboxb,o
xbbbbooxb,o
xobbbbbxo,d
xbobbbbxo,o
xbbobbbxo,o
xbbbobbxo,o
xbbbbobxo,o
xbbbbboxo,o
oxobbbbxb,o
oxbobbbxb,o
bxoobbbxb,o
oxbbobbxb,o
bxobobbxb,o
bxboobbxb,o
oxbbbobxb,o
bxobbobxb,o
bxbobobxb,o
bxbboobxb,o
oxbbbboxb,o
bxobbboxb,o
bxbobboxb,o
bxbboboxb,o
bxbbbooxb,o
oxbbbbbxo,o
bxobbbbxo,o
bxbobbbxo,o
bxbbobbxo,o
bxbbbobxo,o
bxbbbboxo,o
ooxbbbbxb,d
obxobbbxb,o
boxobbbxb,d
obxbobbxb,o
boxbobbxb,d
bbxoobbxb,o
obxbbobxb,o
boxbbobxb,d
bbxobobxb,o
bbxboobxb,o
obxbbboxb,o
boxbbboxb,d
bbxobboxb,o
bbxboboxb,o
bbxbbooxb,o
obxbbbbxo,o
boxbbbbxo,d
bbxobbbxo,o
bbxbobbxo,o
bbxbbobxo,o
bbxbbboxo,o
oobxbbbxb,o
oboxbbbxb,o
booxbbbxb,o
obbxobbxb,o
bobxobbxb,o
bboxobbxb,o
obbxbobxb,o
bobxbobxb,o
bboxbobxb,o
bbbxoobxb,o
obbxbboxb,o
bobxbboxb,o
bboxbboxb,o
bbbxoboxb,o
bbbxbooxb,o
obbxbbbxo,o
bobxbbbxo,o
bboxbbbxo,o
bbbxobbxo,o
bbbxbobxo,o
bbbxbboxo,o
oobbxbbxb,o
obobxbbxb,o
boobxbbxb,o
obboxbbxb,o
boboxbbxb,o
bbooxbbxb,d
obbbxobxb,d
bobbxobxb,o
bbobxobxb,o
bbboxobxb,x
obbbxboxb,o
bobbxboxb,o
bbobxboxb,d
bbboxboxb,o
bbbbxooxb,d
obbbxbbxo,d
bobbxbbxo,o
bbobxbbxo,o
bbboxbbxo,d
bbbbxobxo,o
bbbbxboxo,d
oobbbxbxb,o
obobbxbxb,o
boobbxbxb,o
obbobxbxb,o
bobobxbxb,o
bboobxbxb,o
obbboxbxb,o
bobboxbxb,o
bboboxbxb,o
bbbooxbxb,o
obbbbxoxb,o
bobbbxoxb,o
bbobbxoxb,o
bbbobxoxb,o
bbbboxoxb,o
obbbbxbxo,o
bobbbxbxo,o
bbobbxbxo,o
bbbobxbxo,o
bbbboxbxo,o
bbbbbxoxo,o
oobbbbxxb,o
obobbbxxb,o
boobbbxxb,o
obbobbxxb,x
bobobbxxb,o
bboobbxxb,o
obbbobxxb,o
bobbobxxb,d
bbobobxxb,o
bbboobxxb,o
obbbboxxb,o
bobbboxxb,o
bbobboxxb,o
bbboboxxb,o
bbbbooxxb,o
obbbbbxxo,o
bobbbbxxo,o
bbobbbxxo,o
bbbobbxxo,o
bbbbobxxo,o
bbbbboxxo,o
xoobbbbbx,o
xobobbbbx,o
xboobbbbx,o
xobbobbbx,o
xbobobbbx,o
xbboobbbx,o
xobbbobbx,o
xbobbobbx,o
xbbobobbx,o
xbbboobbx,o
xobbbbobx,o
